dataset,codec,payload_bytes,realized_ratio,detector,path,seed,point_f1,event_f1,pr_auc,vus_pr,tau,rmse,gpu_model
Spike,Q8,1208,3.9735099337748343,PCA,A,43,0.5633802816901409,1.0,0.30629685882875485,0.7000581936576784,0.34580853242137155,0.0054175481449696035,cpu
Spike,Q8,1208,3.9735099337748343,IF,A,43,0.5277777777777778,0.19999999999999998,0.355189170664048,0.7905728437703555,0.5112121334041986,0.0054175481449696035,cpu
Spike,Q4,608,7.894736842105263,PCA,A,43,0.03996003996003996,0.06666666666666667,0.3426378358037853,0.7572743489911664,0.34580853242137155,0.09368607075327294,cpu
Spike,Q4,608,7.894736842105263,IF,A,43,0.1694915254237288,0.019801980198019802,0.34039322248488735,0.7790031486861505,0.5112121334041986,0.09368607075327294,cpu
Spike,R4,150,32.0,D4,B,43,0.0,0.0,0.0164187933074193,0.03615692894282667,1.9471760725285148,,cpu
Rhythm,R0,4800,1.0,PCA,A,43,0.8957055214723927,1.0,0.703919245024753,0.8456191608709245,0.13960684388814298,0.0,cpu
Rhythm,R0,4800,1.0,IF,A,43,0.8580060422960725,0.33333333333333337,0.7599554258850837,0.873047299095757,0.5195142234974452,0.0,cpu
Rhythm,Q8,1208,3.9735099337748343,PCA,A,43,0.8957055214723927,1.0,0.7035151597143907,0.8455272762523125,0.13960684388814298,0.0026022816668892982,cpu
Rhythm,Q8,1208,3.9735099337748343,IF,A,43,0.8477611940298507,0.2727272727272727,0.7577420496550434,0.8734676531525877,0.5195142234974452,0.0026022816668892982,cpu
Rhythm,Q4,608,7.894736842105263,PCA,A,43,0.46439628482972134,0.09523809523809523,0.7052335673161416,0.8461143375149955,0.13960684388814298,0.042600670144258564,cpu
Rhythm,Q4,608,7.894736842105263,IF,A,43,0.7880434782608695,0.15384615384615385,0.7783935639017803,0.8841572817607444,0.5195142234974452,0.042600670144258564,cpu
Rhythm,R4,150,32.0,D4,B,43,0.7317073170731707,1.0,0.6639273914201972,0.7206938305572272,2.0815927604129834,,cpu
Drift,R0,4800,1.0,PCA,A,43,0.7918088737201365,1.0,0.7491588402952509,0.8226865454761663,0.13508592320396356,0.0,cpu
Drift,R0,4800,1.0,IF,A,43,0.7791619479048698,0.8571428571428571,0.8169567538803725,0.8797682899652929,0.5181970716233898,0.0,cpu
Drift,Q8,1208,3.9735099337748343,PCA,A,43,0.7890535917901939,1.0,0.7482249647069271,0.8221205692389187,0.13508592320396356,0.004037754937964015,cpu
Drift,Q8,1208,3.9735099337748343,IF,A,43,0.7765237020316027,0.8070175438596492,0.816205230396857,0.8791069524347571,0.5181970716233898,0.004037754937964015,cpu
Drift,Q4,608,7.894736842105263,PCA,A,43,0.594333936106088,0.7272727272727273,0.6765190861463171,0.7533995052939053,0.13508592320396356,0.06905698861834196,cpu
Drift,Q4,608,7.894736842105263,IF,A,43,0.6440397350993378,0.3597122302158273,0.6968141731877882,0.7612056662614116,0.5181970716233898,0.06905698861834196,cpu
Drift,R4,150,32.0,D4,B,43,0.20915032679738563,0.8235294117647058,0.464569105100908,0.5017482552861335,2.079361544879665,,cpu
Drift,R4-decode,150,32.0,PCA,A,43,0.5974805038992201,1.0,0.35529572060457104,0.3951025379260033,0.13508592320396356,0.34982435583567956,cpu
Chaos,R0,4800,1.0,PCA,A,43,0.9141104294478528,1.0,0.9434358006365242,0.9840950038853421,0.13508592320396356,0.0,cpu
Chaos,R0,4800,1.0,IF,A,43,0.8493975903614458,0.13333333333333333,0.8968491846736248,0.9695736294043114,0.5181970716233898,0.0,cpu
Chaos,Q8,1208,3.9735099337748343,PCA,A,43,0.9141104294478528,1.0,0.9437817129701724,0.9841481892489966,0.13508592320396356,0.004423783308029307,cpu
Chaos,Q8,1208,3.9735099337748343,IF,A,43,0.8459214501510574,0.25,0.8955635372403844,0.9704971975141395,0.5181970716233898,0.004423783308029307,cpu
Chaos,Q4,608,7.894736842105263,PCA,A,43,0.2329192546583851,0.15384615384615385,0.9101385468045216,0.9758608939889011,0.13508592320396356,0.07530997570172167,cpu
Chaos,Q4,608,7.894736842105263,IF,A,43,0.5645161290322581,0.05714285714285715,0.8461542842473025,0.9418661757522564,0.5181970716233898,0.07530997570172167,cpu
Chaos,R4,150,32.0,D4,B,43,0.183206106870229,0.25,0.16509469570761345,0.18185660141019208,2.079361544879665,,cpu
UCR,R0,191508,1.0,PCA,A,43,0.0,0.0,0.017173796160057642,0.01772852378197879,1795475.2652261332,0.0,cpu
UCR,R0,191508,1.0,IF,A,43,0.27116311080523053,0.07142857142857142,0.2544446868181393,0.18539228901826585,0.6135068370679937,0.0,cpu
UCR,Q8,47885,3.999331732275243,PCA,A,43,0.0,0.0,0.0171982980097452,0.017752716625022334,1795475.2652261332,2.195143514272782,cpu
UCR,Q8,47885,3.999331732275243,IF,A,43,0.27285318559556787,0.07407407407407407,0.2541279730458136,0.18509033133319952,0.6135068370679937,2.195143514272782,cpu
UCR,Q4,23947,7.997160395874222,PCA,A,43,0.0,0.0,0.016781442177957184,0.017122519713871985,1795475.2652261332,37.061409523856035,cpu
UCR,Q4,23947,7.997160395874222,IF,A,43,0.2667560321715818,0.09523809523809523,0.2669818602848102,0.2166988895568138,0.6135068370679937,37.061409523856035,cpu
UCR,R4,5984,32.0,D4,B,43,0.010554089709762533,0.020618556701030924,0.014364408040079917,0.01469506988441553,4.775144943067589,,cpu
Spike,R0,4800,1.0,PCA,A,44,0.46511627906976744,0.5,0.30276546212373134,0.7079595058876429,0.29933900444204675,0.0,cpu
Spike,R0,4800,1.0,IF,A,44,0.5161290322580645,0.3636363636363636,0.5001394001798798,0.8793895680828475,0.5300971211515716,0.0,cpu
Spike,Q8,1208,3.9735099337748343,PCA,A,44,0.45977011494252873,0.5,0.30276546212373134,0.7079595058876429,0.29933900444204675,0.005457518627212912,cpu
Spike,Q8,1208,3.9735099337748343,IF,A,44,0.5,0.4,0.49047076387928706,0.8744323242997788,0.5300971211515716,0.005457518627212912,cpu
Spike,Q4,608,7.894736842105263,PCA,A,44,0.034722222222222224,0.16666666666666669,0.274822349938304,0.6625485397205262,0.29933900444204675,0.09459178370323265,cpu
Spike,Q4,608,7.894736842105263,IF,A,44,0.22099447513812154,0.044444444444444446,0.4416217262289625,0.8126046162123476,0.5300971211515716,0.09459178370323265,cpu
Spike,R4,150,32.0,D4,B,44,0.0,0.0,0.01597406914893617,0.05421444641185946,2.567497745738328,,cpu
Rhythm,R0,4800,1.0,PCA,A,44,0.8604651162790697,0.5,0.716882597414204,0.8563637853221318,0.1157376390621975,0.0,cpu
Rhythm,R0,4800,1.0,IF,A,44,0.8711656441717791,0.2222222222222222,0.8075219936000742,0.9105778262497749,0.5284417394473769,0.0,cpu
Rhythm,Q8,1208,3.9735099337748343,PCA,A,44,0.8604651162790697,0.5,0.7164406035408403,0.8561761471515872,0.1157376390621975,0.002549381422631659,cpu
Rhythm,Q8,1208,3.9735099337748343,IF,A,44,0.8738461538461538,0.25,0.8043481312243232,0.9103421101489262,0.5284417394473769,0.002549381422631659,cpu
Rhythm,Q4,608,7.894736842105263,PCA,A,44,0.354916067146283,0.04878048780487806,0.7134412231654275,0.8559687824242531,0.1157376390621975,0.04306090391358424,cpu
Rhythm,Q4,608,7.894736842105263,IF,A,44,0.7956403269754768,0.1142857142857143,0.7977643664447787,0.9028260774012952,0.5284417394473769,0.04306090391358424,cpu
Rhythm,R4,150,32.0,D4,B,44,0.6870229007633588,0.8571428571428571,0.6371903319631825,0.6885361622888324,2.079361544879665,,cpu
Drift,R0,4800,1.0,PCA,A,44,0.797281993204983,1.0,0.7466935672746395,0.8233157424261114,0.11692654860979726,0.0,cpu
Drift,R0,4800,1.0,IF,A,44,0.7473560517038778,0.9268292682926829,0.8354663988808517,0.8878946587388188,0.5299841468072805,0.0,cpu
Drift,Q8,1208,3.9735099337748343,PCA,A,44,0.7986425339366516,1.0,0.7452308009381947,0.8219092322977483,0.11692654860979726,0.004071804642616531,cpu
Drift,Q8,1208,3.9735099337748343,IF,A,44,0.7444051825677267,0.9473684210526316,0.8367973873529774,0.8893233737970077,0.5299841468072805,0.004071804642616531,cpu
Drift,Q4,608,7.894736842105263,PCA,A,44,0.5966386554621849,1.0,0.6697699474012255,0.7462540229862158,0.11692654860979726,0.07090503269704787,cpu
Drift,Q4,608,7.894736842105263,IF,A,44,0.7248459958932238,0.4050632911392405,0.7807911747447865,0.8353022225346722,0.5299841468072805,0.07090503269704787,cpu
Drift,R4,150,32.0,D4,B,44,0.14388489208633093,0.8,0.4729030973498257,0.5250944097679321,2.5668916024438295,,cpu
Drift,R4-decode,150,32.0,PCA,A,44,0.5991611743559018,1.0,0.34263332375064043,0.39299221865966694,0.11692654860979726,0.34071927560150894,cpu
Chaos,R0,4800,1.0,PCA,A,44,0.8771929824561403,0.6666666666666666,0.9602530314139577,0.986310611506938,0.11692654860979726,0.0,cpu
Chaos,R0,4800,1.0,IF,A,44,0.8834355828220859,0.5,0.8599197029557405,0.9497685376486638,0.5299841468072805,0.0,cpu
Chaos,Q8,1208,3.9735099337748343,PCA,A,44,0.8823529411764706,0.6666666666666666,0.9600352944193599,0.9862340022883033,0.11692654860979726,0.004011239362200509,cpu
Chaos,Q8,1208,3.9735099337748343,IF,A,44,0.8881987577639752,0.7272727272727273,0.8632564051019634,0.9500576253816938,0.5299841468072805,0.004011239362200509,cpu
Chaos,Q4,608,7.894736842105263,PCA,A,44,0.2425222312045271,0.11764705882352941,0.9642571177110744,0.9872489624926257,0.11692654860979726,0.06668365052372364,cpu
Chaos,Q4,608,7.894736842105263,IF,A,44,0.7153652392947103,0.15789473684210528,0.8360767358906843,0.9382734399684202,0.5299841468072805,0.06668365052372364,cpu
Chaos,R4,150,32.0,D4,B,44,0.24242424242424243,0.5714285714285715,0.3083187759964643,0.3267461743992584,2.5668916024438295,,cpu
UCR,R0,191508,1.0,PCA,A,44,0.0,0.0,0.017173796160057642,0.01772852378197879,1795475.2652261332,0.0,cpu
UCR,R0,191508,1.0,IF,A,44,0.2772695285010556,0.0689655172413793,0.2136745791286451,0.18032044864278252,0.6193251590067603,0.0,cpu
UCR,Q8,47885,3.999331732275243,PCA,A,44,0.0,0.0,0.0171982980097452,0.017752716625022334,1795475.2652261332,2.195143514272782,cpu
UCR,Q8,47885,3.999331732275243,IF,A,44,0.2756183745583039,0.07142857142857142,0.21420340906967192,0.1793892026114977,0.6193251590067603,2.195143514272782,cpu
UCR,Q4,23947,7.997160395874222,PCA,A,44,0.0,0.0,0.016781442177957184,0.017122519713871985,1795475.2652261332,37.061409523856035,cpu
UCR,Q4,23947,7.997160395874222,IF,A,44,0.2733516483516483,0.07017543859649122,0.2211320469156327,0.18412419128135524,0.6193251590067603,37.061409523856035,cpu
UCR,R4,5984,32.0,D4,B,44,0.010554089709762533,0.020618556701030924,0.014364408040079917,0.01469506988441553,4.775144943067589,,cpu
Spike,R0,4800,1.0,PCA,A,45,0.5555555555555556,0.6666666666666666,0.33061911187428417,0.7396411619937736,0.35057617638630423,0.0,cpu
Spike,R0,4800,1.0,IF,A,45,0.391304347826087,0.0909090909090909,0.41087382072006956,0.8065653200965034,0.511488772264914,0.0,cpu
Spike,Q8,1208,3.9735099337748343,PCA,A,45,0.5633802816901409,1.0,0.33061911187428417,0.7396411619937736,0.35057617638630423,0.005393571705838166,cpu
Spike,Q8,1208,3.9735099337748343,IF,A,45,0.37894736842105264,0.07692307692307693,0.4046071145800276,0.8110884256859465,0.511488772264914,0.005393571705838166,cpu
Spike,Q4,608,7.894736842105263,PCA,A,45,0.042643923240938165,0.0625,0.29971555462069444,0.6917481844114791,0.35057617638630423,0.090616368549129,cpu
